image_source,product_name,product_category,price,skin_type,skin_tone
https://imagesmfl.s3.amazonaws.com/foundation_images/1.jpeg,Colorfit Perfect Glow Cushion 22N Light Ivoy,WARDAH,RM42.41,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/2.jpeg,Colorfit Perfect Glow Cushion 23W Warm Ivory,WARDAH,RM42.41,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/3.jpeg,Colorfit Perfect Glow Cushion 32N Neutral beige,WARDAH,RM42.41,"Dry, Normal",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/4.jpeg,Colorfit Perfect Glow Cushion 11C Pink Fair,WARDAH,RM42.41,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/5.jpeg,Lightening Liquid Foundation 03 Warm Beige,WARDAH,RM15.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/6.jpeg,Fit Me Matte Liq Foundation SPF 220 Natural Beige,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/7.jpeg,Lightening Liquid Foundation 02 Beige 25 ml,WARDAH,RM15.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/8.jpeg,Lightening Liquid Foundation 01 Light Beige 25 ml,WARDAH,RM15.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/9.jpeg,Clrfit Velvet Powder Foundation 32N Neutral Beige,WARDAH,RM22.32,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/10.jpeg,Fit Me Matte Liq Foundation SPF  120 Classic Ivory,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/11.jpeg,Colorfit Perfect Glow Cushion 33W Olive Beige,WARDAH,RM42.41,Normal,Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/12.jpeg,True Match Liquid Foundation N1 Nude Ivory 1pc,L'OREAL PARIS MAKEUP,RM53.13,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/13.jpeg,Colorfit Perfect Glow Cushion 43W Golden Sand,WARDAH,RM42.41,Normal,Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/14.jpeg,Fit Me Matte Liq Foundation SPF  115 Ivory,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/15.jpeg,Cloud Touch Blurring Skin Tint N504 Rose Vanilla,Y.O.U,RM36.47,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/16.jpeg,Fit Me Matte Liq Foundation SPF  112 Natural Ivory,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/17.jpeg,Fit Me Matte Liq Foundation SPF 338 Spicy Brown,MAYBELLINE,RM36.98,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/18.jpeg,Fit Me Matte Liq Foundation SPF 118 Light Be,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/19.jpeg,Colorfit Perfect Glow Cushion 42N Neutral Sand,WARDAH,RM42.41,Normal,Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/20.jpeg,Fit Me Matte Liq Foundation SPF 235 Pure Beige,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/21.jpeg,Fit Me Matte Liq Foundation SPF  109 Light Ivory,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/22.jpeg,Clrfit Velvet Powder Foundation 22N Light Ivory,WARDAH,RM22.32,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/23.jpeg,True Match Liquid Foundation F2 Porcelain 1's,L'OREAL PARIS MAKEUP,RM75.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/24.jpeg,Matte All Day Serum Foundation 02 Natural Beige,SILKYGIRL,RM31.50,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/25.jpeg,Fit Me Matte Liq Foundation SPF 330 Toffee,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/26.jpeg,Insta Perfect Liquid Make Up 60,ESSENCE,RM7.77,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/27.jpeg,Fit Me Matte Liq Foundation SPF  125 Nude Beige,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/28.jpeg,Fit Me Matte Liq Foundation SPF  110 Porcelain,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/29.jpeg,Lightening Liquid Foundation 04 Natural 25 ml,WARDAH,RM15.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/30.jpeg,True Beauty Cushion 001 PorcelainSummerNectar,BARE N BLISS,RM49.90,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/31.jpeg,Real Cover Liquid Light Glow 01,KATE,RM70.65,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/32.jpeg,Fit Me Matte Liq Foundation SPF 310 Sun Beige,MAYBELLINE,RM36.98,Oily,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/33.jpeg,Fit Me Matte Liq Foundation SPF 320 Natural Tan,MAYBELLINE,RM36.98,Oily,Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/34.jpeg,All Day Perfect Serum Foundation 01 Vanilla,SKINTIFIC,RM55.20,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/35.jpeg,True Beauty Cushion 002 IvoryBlossomBud,BARE N BLISS,RM49.90,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/36.jpeg,Cloud Touch Blurring Skin Tint W708 Crème Beige,Y.O.U,RM36.47,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/37.jpeg,Cloud Touch Blurring Skin Tint C203 Pink Sand,Y.O.U,RM36.47,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/38.jpeg,Fit Me Matte Liq Foundation SPF 228 Soft Tan,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/39.jpeg,Cloud Touch DFL Mesh Cushion C203 Pink Sand,Y.O.U,RM49.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/40.jpeg,Extremematte Liquid Foundation C2,C.CODE,RM32.90,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/41.jpeg,Timeless Cushion Foundation Natural Beige TCF02,SIMPLYSITI,RM66.90,Dry,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/42.jpeg,Clrfit Matte Foundation 22N Light Ivory,WARDAH,RM20.23,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/43.jpeg,Clrfit Velvet Powder Foundation 52N Almond,WARDAH,RM22.32,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/44.jpeg,Clrfit Velvet Powder Foundation 11C Pink Fair,WARDAH,RM22.32,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/45.jpeg,Fit Me Matte Liq Foundation SPF 322 Warm Honey,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/46.jpeg,Fit Me Matte Liq Foundation SPF 230 Natural Buff,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/47.jpeg,Fit Me Matte Liq Foundation SPF 335 Classic Tan,MAYBELLINE,RM36.98,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/48.jpeg,Infallible 32H Matte Cover Foundation 110,L'OREAL PARIS MAKEUP,RM55.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/49.jpeg,Skin Prefect Liquid Foundation 02 Natural,SILKYGIRL,RM26.01,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/50.jpeg,Infallible 32H Matte Cover Foundation 125,L'OREAL PARIS MAKEUP,RM55.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/51.jpeg,Fit Me Matte Liq Foundation SPF  128 Warm Nude,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/52.jpeg,Hooman Breathable UV Cushion SPF35 C01.5 Butter,SOMETHINC,RM55.25,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/53.jpeg,Copy Paste Breathable Cushion - Nina 1S,SOMETHINC,RM55.25,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/54.jpeg,Lasting Finish 35HR Foundation 100 Ivory,RIMMEL,RM49.41,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/55.jpeg,Cloud Touch Blurring Skin Tint N402 Shell Ivory,Y.O.U,RM36.47,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/56.jpeg,Real Cover Liquid Light Glow 02,KATE,RM70.65,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/57.jpeg,Fit Me Matte Liq Foundation SPF 332 Golden Caramel,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/58.jpeg,Fit Me Matte Foundation 18ML TUBE 220 NATURAL BEIG,MAYBELLINE,RM39.90,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/59.jpeg,Infallible 32H Matte Cover Foundation 95,L'OREAL PARIS MAKEUP,RM55.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/60.jpeg,Argan Wonder Foundation Natural Beige ALF02,SIMPLYSITI,RM59.90,Oily,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/61.jpeg,True Match Liquid Foundation N3 Nude Vanilla 1pc,L'OREAL PARIS MAKEUP,RM53.13,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/62.jpeg,Hooman Breathable UV Cushion SPF35 N01 Nina,SOMETHINC,RM55.25,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/63.jpeg,Hooman Breathable UV Cushion SPF35 N02 Charlotte,SOMETHINC,RM55.25,Oily,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/64.jpeg,Magic BB Cushion 04 Warm Natural,SILKYGIRL,RM39.92,Normal,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/65.jpeg,Clrfit Matte Foundation 43W Golden Sand,WARDAH,RM20.23,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/66.jpeg,Clrfit Matte Foundation 32N Neutral Beige,WARDAH,RM20.23,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/67.jpeg,ColorStay Powder Foundation 200 Nude Refill,REVLON,RM49.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/68.jpeg,Copy Paste Breathable Cushion - Charlotte 1S,SOMETHINC,RM55.25,Normal,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/69.jpeg,IRL Filter Longwear Foundation F2  23ml,REVOLUTION,RM83.61,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/70.jpeg,Powermatte Liquid Foundation W1 30ml,C.CODE,RM36.47,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/71.jpeg,Matte All Day Serum Foundation 04 Medium,SILKYGIRL,RM31.50,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/72.jpeg,Fit Me Matte Liq Foundation SPF 238 Rich Tan,MAYBELLINE,RM36.98,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/73.jpeg,Lasting Matte Foundation #100 IVORY (NEUTRAL),RIMMEL,RM22.74,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/74.jpeg,Fit Me Matte Liq Foundation SPF 215 Soft Bei,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/75.jpeg,PHOTO FOCUS FOUNDATION NUDE IVORY E363C,WET N WILD,RM56.90,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/76.jpeg,True Match Liquid Foundation G1 Vanilla Ivory 1pc,L'OREAL PARIS MAKEUP,RM53.13,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/77.jpeg,Everlast Cushion Foundation N10 Porcelain,JUDYDOLL,RM69.90,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/78.jpeg,Instant Invisible Oil Control Powder Foundation Case,ZA,RM24.90,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/79.jpeg,IRL Filter Longwear Foundation F3 23ml,REVOLUTION,RM83.61,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/80.jpeg,Extremematte Liquid Foundation N2 1S,C.CODE,RM32.90,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/81.jpeg,Men Oil Control Liquid Foundation SPF30 PA+++ Warm MOQM301,IN2IT MEN,RM23.12,Oily,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/82.jpeg,Day by Day Foundation W805 Yellow Beige 25ml,DAZZLE ME,RM20.90,Normal,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/83.jpeg,Colorfit Perfect Glow Cushion 52N Almond,WARDAH,RM42.41,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/84.jpeg,NoutriWear+ Vel.Liq.FDation W709 SandBeige 20ml,Y.O.U,RM39.02,"Dry, Normal",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/85.jpeg,Moisture BB Cushion SPF50 C2 15g,C.CODE,RM47.52,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/86.jpeg,Kind & Free Moisturising Skin Tint 201 Class Beige,RIMMEL,RM34.93,Dry,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/87.jpeg,HYA CICA Face Powder Foundation SPF30 Soft BSQ201,IN2IT,RM30.51,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/88.jpeg,Matte All Day Serum Foundation 01 Ivory,SILKYGIRL,RM31.50,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/89.jpeg,Clrfit Velvet Powder Foundation 43W Golden Sand,WARDAH,RM22.32,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/90.jpeg,Mikadation Pro Foundation MD.1,MIKASERIES,RM69.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/91.jpeg,Fit Me Matte Foundation 18ML TUBE 330 TOFFEE,MAYBELLINE,RM39.90,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/92.jpeg,Infallible 32H Matte Cover Foundation 253,L'OREAL PARIS MAKEUP,RM55.92,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/93.jpeg,Matt Mousse Make Up 04 Matt Ivory 1pc,ESSENCE,RM22.40,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/94.png,Superstay Lumi Matte 110,MAYBELLINE,RM65.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/95.jpeg,Men Oil Control Liquid Foundation SPF30 PA+++ Tan MOQM201,IN2IT MEN,RM23.12,Oily,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/96.jpeg,Day by Day Foundation C304 Pink Nude 25ml,DAZZLE ME,RM20.90,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/97.jpeg,Bright Up Liquid Foundation 01 Light,SILKY WHITE,RM13.23,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/98.jpeg,Bright Up Liquid Foundation 02 Natural,SILKY WHITE,RM13.23,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/99.jpeg,Make-up Cover 226,DERMACOL,RM68.90,Normal,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/100.jpeg,Soft Matte Fluid Foundation SPF30PA+++Light SMQ101,IN2IT,RM29.94,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/101.jpeg,Bare with Me Mineral Mild Foundation 03 Caramel 30,EMINA,RM24.40,"Dry, Normal",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/102.jpeg,Fit Me Matte Liq Foundation SPF 222 True Beige,MAYBELLINE,RM36.98,"Normal, Oily",Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/103.jpeg,Skin Prefect Liquid Foundation 06 Honey,SILKYGIRL,RM26.01,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/104.jpeg,Powermatte Liquid Foundation W2 30ml,C.CODE,RM36.47,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/105.jpeg,Real Cover Liquid Light Glow 00,KATE,RM70.65,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/106.jpeg,Clrfit Matte Foundation 11C Pink Fair,WARDAH,RM20.23,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/107.jpeg,Fit Me Matte Liq Foundation SPF 130 Buff Beige,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/108.jpeg,Fit Me Matte Foundation 18ML TUBE 125 NUDE BEIGE,MAYBELLINE,RM39.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/109.jpeg,Fit Me Matte Foundation 18ML TUBE 115 IVORY,MAYBELLINE,RM39.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/110.jpeg,Infallible 32H Matte Cover Foundation 123,L'OREAL PARIS MAKEUP,RM55.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/111.jpeg,All Day Perfect Serum Foundation 00 Porcelain,SKINTIFIC,RM55.20,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/112.jpeg,Lightening Liquid Foundation 05 Warm Ivory,WARDAH,RM15.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/113.jpeg,Everlast Cushion Foundation N30 Natural,JUDYDOLL,RM69.90,"Dry, Normal",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/114.jpeg,Superdewy Tinted Moisturiser Fair 55ml,REVOLUTION,RM77.31,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/115.jpeg,Kill Cover Mesh Glow Cushion 3 Linen,CLIO,RM132.00,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/116.jpeg,Insta P Skinfocus Cover Fdtn 22 LI 30Ml,WARDAH,RM39.83,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/117.jpeg,Muse Pressed Foundation 04 Warm Mocca 6g,DAZZLE ME,RM18.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/118.jpeg,Exclusive Liquid Foundation 02 SP 1's,WARDAH,RM26.95,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/119.jpeg,Bright Up Liquid Foundation 03 Medium,SILKY WHITE,RM13.23,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/120.jpeg,Make-up Cover 222,DERMACOL,RM68.90,Normal,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/121.jpeg,Twin Pack Excl Two Way Cake 04 Natural 12 g,WARDAH,RM42.56,Normal,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/122.jpeg,Real Cover Liquid Semi Matte 02,KATE,RM78.50,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/123.jpeg,Real Cover Liquid Semi Matte 00,KATE,RM78.50,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/124.jpeg,Kill Cover Fixer Cushion #4.0BO Ginger,CLIO,RM148.50,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/125.jpeg,Long Lasting Foundation 21,LUNA,RM139.00,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/126.jpeg,Kind & Free Moisturising Skin Tint 10 Rose Ivory,RIMMEL,RM34.93,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/127.jpeg,Matte All Day Serum Foundation 05 Natural Tan,SILKYGIRL,RM31.50,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/128.jpeg,Real Cover Liquid Light Glow 03,KATE,RM70.65,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/129.jpeg,Real Cover Liquid Light Glow 04,KATE,RM70.65,"Dry, Normal",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/130.jpeg,Clrfit Matte Foundation 23W Warm Ivory,WARDAH,RM20.23,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/131.jpeg,Long  Cover Foundation 00,CEZANNE,RM35.94,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/132.jpeg,Fit Me Matte Foundation 18ML TUBE 130 BUFF BEIGE,MAYBELLINE,RM39.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/133.jpeg,Fit Me Matte Foundation 18ML TUBE 120 CLASSIC IVOR,MAYBELLINE,RM39.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/134.jpeg,Infallible 32H Matte Cover Foundation 128,L'OREAL PARIS MAKEUP,RM55.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/135.jpeg,Exclusive Liquid Foundation 04 Natural 1's,WARDAH,RM26.95,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/136.jpeg,Oil Control 2 Way Cake SPF30 N1 10g,C.CODE,RM13.14,Oily,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/137.jpeg,Moisture BB Cushion SPF50 N1 15g,C.CODE,RM47.52,Dry,Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/138.png,Superstay Lumi Matte 125,MAYBELLINE,RM65.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/139.png,Superstay Lumi Matte 220,MAYBELLINE,RM65.90,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/140.png,Superstay Lumi Matte 119,MAYBELLINE,RM65.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/141.jpeg,True Beauty Cushion 02 MediumBlossomBud,BARE N BLISS,RM49.90,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/142.jpeg,Lightening Liquid Foundation 06 Neutral Sand,WARDAH,RM15.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/143.jpeg,Soft & Velvet Matte Powder Foundation 01 Porcelain,JUDYDOLL,RM59.90,Oily,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/144.jpeg,Traceless Cloud-Touch Cream Foundation B10,JUDYDOLL,RM69.90,Normal,Light
https://imagesmfl.s3.amazonaws.com/foundation_images/145.jpeg,Perfect Fit Two-Way Foundation（Refill） OC30,ZA,RM48.90,Normal,Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/146.jpeg,Perfect Fit Two-Way Foundation（Refill） OC00,ZA,RM48.90,Normal,Light
